,Score_Margin,Team_Id,Team_Name,Win_Percent
62,-6.0,1169,CS Northridge,0.286
63,-3.31,1170,CS Sacramento,0.414
64,-2.3,1171,Dartmouth,0.333
65,0.94,1172,Davidson,0.613
66,7.38,1173,Dayton,0.781
67,-9.47,1174,Delaware,0.233
68,-14.03,1175,Delaware St,0.167
69,-0.1,1176,Denver,0.516
70,-7.52,1177,DePaul,0.29
71,-1.62,1178,Detroit,0.483
72,-6.07,1179,Drake,0.2
73,-7.3,1180,Drexel,0.2
74,9.39,1181,Duke,0.697
75,0.13,1182,Duquesne,0.484
76,-4.82,1183,E Illinois,0.393
77,0.33,1184,E Kentucky,0.467
78,-1.38,1185,E Michigan,0.483
79,1.93,1186,E Washington,0.5
80,-3.59,1187,East Carolina,0.375
81,-8.18,1188,Edwardsville,0.214
82,-1.33,1189,Elon,0.467
83,1.41,1190,ETSU,0.656
84,8.48,1191,Evansville,0.727
85,-1.68,1192,F Dickinson,0.548
86,-0.25,1193,Fairfield,0.594
87,-8.58,1194,FL Atlantic,0.226
88,2.72,1195,FL Gulf Coast,0.552
89,5.03,1196,Florida,0.576
90,-11.07,1197,Florida A&M,0.222
91,-0.43,1198,Florida Intl,0.367
92,4.31,1199,Florida St,0.594
93,2.14,1200,Fordham,0.552
94,3.47,1201,Fresno St,0.719
95,1.68,1202,Furman,0.516
96,6.52,1203,G Washington,0.697
97,-2.52,1204,Ga Southern,0.414
98,-2.97,1205,Gardner Webb,0.467
99,-5.41,1206,George Mason,0.344
100,1.82,1207,Georgetown,0.455
101,1.09,1208,Georgia,0.594
102,-0.61,1209,Georgia St,0.5
103,2.18,1210,Georgia Tech,0.576
104,12.75,1211,Gonzaga,0.781
105,-11.14,1212,Grambling,0.143
106,7.34,1213,Grand Canyon,0.793
107,0.9,1214,Hampton,0.667
108,-8.59,1216,Hartford,0.281
109,-0.71,1217,Harvard,0.429
110,10.8,1218,Hawaii,0.833
111,4.64,1219,High Point,0.643
112,4.44,1220,Hofstra,0.719
113,-4.33,1221,Holy Cross,0.424
114,9.0,1222,Houston,0.71
115,-5.17,1223,Houston Bap,0.448
116,-6.1,1224,Howard,0.333
117,0.74,1225,Idaho,0.613
118,-3.0,1226,Idaho St,0.483
119,-13.71,1227,IL Chicago,0.107
120,-2.65,1228,Illinois,0.441
121,0.81,1229,Illinois St,0.548
122,-3.0,1230,Incarnate Word,0.56
123,13.38,1231,Indiana,0.781
124,-2.16,1232,Indiana St,0.452
125,5.94,1233,Iona,0.688
126,9.39,1234,Iowa,0.677
127,6.88,1235,Iowa St,0.656
128,2.48,1236,IPFW,0.71
129,-5.97,1237,IUPUI,0.387
130,1.13,1238,Jackson St,0.531
131,-3.25,1239,Jacksonville,0.429
132,-6.31,1240,Jacksonville St,0.207
133,5.68,1241,James Madison,0.645
134,12.7,1242,Kansas,0.879
135,2.52,1243,Kansas St,0.515
136,-6.97,1244,Kennesaw,0.31
137,-0.06,1245,Kent,0.581
138,11.41,1246,Kentucky,0.765
139,-10.73,1247,La Salle,0.267
140,-9.0,1248,Lafayette,0.2
141,-5.92,1249,Lamar,0.269
142,0.77,1250,Lehigh,0.516
143,-6.69,1251,Liberty,0.345
144,-5.03,1252,Lipscomb,0.323
145,-0.34,1253,Long Beach St,0.563
146,-0.77,1254,Long Island,0.516
147,-6.27,1255,Longwood,0.233
148,4.63,1256,Louisiana Tech,0.7
149,13.84,1257,Louisville,0.742
150,-4.5,1258,Loy Marymount,0.433
151,-5.67,1259,Loyola MD,0.3
152,-1.81,1260,Loyola-Chicago,0.452
153,1.79,1261,LSU,0.576
154,-7.43,1262,MA Lowell,0.357
155,-10.9,1263,Maine,0.267
156,-4.35,1264,Manhattan,0.419
157,-7.17,1265,Marist,0.233
158,2.09,1266,Marquette,0.606
159,1.12,1267,Marshall,0.515
160,9.13,1268,Maryland,0.75
161,-2.31,1269,Massachusetts,0.438
162,-8.5,1270,McNeese St,0.269
163,-8.06,1271,MD E Shore,0.29
164,6.26,1272,Memphis,0.559
165,1.74,1273,Mercer,0.548
166,8.81,1274,Miami FL,0.781
167,-5.66,1275,Miami OH,0.375
168,6.24,1276,Michigan,0.636
169,16.38,1277,Michigan St,0.853
170,-6.0,1278,Minnesota,0.258
171,3.09,1279,Mississippi,0.625
172,2.16,1280,Mississippi St,0.452
173,-4.39,1281,Missouri,0.323
174,-4.07,1282,Missouri KC,0.321
175,-6.1,1283,Missouri St,0.387
176,7.74,1284,Monmouth NJ,0.794
177,3.83,1285,Montana,0.621
178,-1.57,1286,Montana St,0.433
179,2.9,1287,Morehead St,0.586
180,-4.6,1288,Morgan St,0.267
181,-11.74,1290,MS Valley St,0.229
182,-1.94,1291,Mt St Mary's,0.424
183,4.1,1292,MTSU,0.71
184,1.48,1293,Murray St,0.517
185,-8.21,1294,N Colorado,0.276
186,2.06,1295,N Dakota St,0.581
187,1.0,1296,N Illinois,0.586
188,-6.18,1297,N Kentucky,0.25
189,2.06,1298,Navy,0.563
190,-8.29,1299,NC A&T,0.323
191,-2.97,1300,NC Central,0.345
192,0.79,1301,NC State,0.485
193,2.14,1303,NE Omaha,0.552
194,3.26,1304,Nebraska,0.471
195,-0.13,1305,Nevada,0.567
196,-1.1,1306,New Hampshire,0.586
197,2.63,1307,New Mexico,0.531
198,7.42,1308,New Mexico St,0.677
199,-6.04,1309,New Orleans,0.259
200,-7.41,1310,Niagara,0.219
201,-11.45,1311,Nicholls St,0.258
202,0.0,1312,NJIT,0.533
203,0.19,1313,Norfolk St,0.484
204,12.71,1314,North Carolina,0.824
205,1.38,1315,North Dakota,0.483
206,3.57,1316,North Florida,0.633
207,-6.6,1317,North Texas,0.333
208,0.25,1318,Northeastern,0.531
209,-15.46,1319,Northern Arizona,0.107
210,4.64,1320,Northern Iowa,0.636
211,6.03,1321,Northwestern,0.625
212,-10.08,1322,Northwestern LA,0.208
213,5.13,1323,Notre Dame,0.656
214,7.41,1324,Oakland,0.656
215,3.26,1325,Ohio,0.645
216,2.42,1326,Ohio St,0.606
217,9.97,1328,Oklahoma,0.781
218,-0.63,1329,Oklahoma St,0.375
219,6.66,1330,Old Dominion,0.629
220,-3.28,1331,Oral Roberts,0.414
221,9.15,1332,Oregon,0.818
222,1.43,1333,Oregon St,0.6
223,-5.92,1334,Pacific,0.231
224,-4.04,1335,Penn,0.37
225,-3.78,1336,Penn St,0.5
226,0.9,1337,Pepperdine,0.567
227,7.06,1338,Pittsburgh,0.645
228,-2.77,1339,Portland,0.355
229,-2.21,1340,Portland St,0.379
230,-10.61,1341,Prairie View,0.226
231,-8.39,1342,Presbyterian,0.286
232,9.41,1343,Princeton,0.778
233,4.24,1344,Providence,0.697
234,13.15,1345,Purdue,0.765
235,-5.4,1346,Quinnipiac,0.3
236,-1.72,1347,Radford,0.483
237,4.63,1348,Rhode Island,0.531
238,-6.1,1349,Rice,0.333
239,2.72,1350,Richmond,0.5
240,-1.39,1351,Rider,0.394
241,-5.78,1352,Robert Morris,0.313
242,-13.48,1353,Rutgers,0.194
243,-1.68,1354,S Carolina St,0.548
244,7.03,1355,S Dakota St,0.774
245,4.09,1356,S Illinois,0.688
246,-3.97,1357,Sacred Heart,0.4
247,0.59,1358,Sam Houston St,0.517
248,-1.45,1359,Samford,0.387
249,-9.21,1360,San Diego,0.276
250,7.38,1361,San Diego St,0.719
251,-2.24,1362,San Francisco,0.483
252,-7.14,1363,San Jose St,0.214
253,2.77,1364,Santa Barbara,0.567
254,-6.53,1365,Santa Clara,0.333
255,-6.48,1366,Savannah St,0.483
256,-9.39,1367,SC Upstate,0.25
257,-6.06,1368,SE Louisiana,0.323
258,-12.63,1369,SE Missouri St,0.111
259,-4.43,1370,Seattle,0.429
260,7.06,1371,Seton Hall,0.758
261,15.29,1372,SF Austin,0.821
262,5.18,1373,Siena,0.636
263,13.87,1374,SMU,0.833
264,-6.16,1375,South Alabama,0.387
265,6.42,1376,South Carolina,0.742
266,-4.7,1377,South Dakota,0.4
267,-8.09,1378,South Florida,0.242
268,-6.93,1379,Southern Miss,0.259
269,1.87,1380,Southern Univ,0.613
270,-13.14,1381,Southern Utah,0.143
271,4.97,1382,St Bonaventure,0.733
272,-2.0,1383,St Francis NY,0.452
273,-3.52,1384,St Francis PA,0.414
274,-9.84,1385,St John's,0.226
275,7.68,1386,St Joseph's PA,0.794
276,-6.22,1387,St Louis,0.344
277,13.61,1388,St Mary's CA,0.839
278,-0.7,1389,St Peter's,0.467
279,-2.34,1390,Stanford,0.483
280,-6.43,1391,Stetson,0.267
281,10.27,1392,Stony Brook,0.8
282,4.5,1393,Syracuse,0.594
283,3.13,1394,TAM C. Christi,0.767
284,-4.55,1395,TCU,0.364
285,1.22,1396,Temple,0.656
286,-0.06,1397,Tennessee,0.441
287,3.79,1398,Tennessee St,0.643
288,1.04,1399,Tennessee Tech,0.607
289,3.28,1400,Texas,0.625
290,10.38,1401,Texas A&M,0.765
291,-1.07,1402,Texas St,0.448
292,2.55,1403,Texas Tech,0.613
293,-0.9,1404,TN Martin,0.548
294,5.32,1405,Toledo,0.516
295,2.17,1406,Towson,0.6
296,-7.14,1407,Troy,0.241
297,-4.65,1408,Tulane,0.353
298,4.32,1409,Tulsa,0.645
299,-13.63,1410,UTRGV,0.185
300,2.66,1411,TX Southern,0.563
301,7.35,1412,UAB,0.806
302,-4.32,1413,UC Davis,0.321
303,4.59,1414,UC Irvine,0.719
304,-2.58,1415,UC Riverside,0.387
305,-2.83,1416,UCF,0.4
306,0.78,1417,UCLA,0.469
307,3.97,1418,ULL,0.517
308,1.35,1419,ULM,0.581
309,-8.5,1420,UMBC,0.219
310,5.45,1421,UNC Asheville,0.645
311,-2.93,1422,UNC Greensboro,0.379
312,6.37,1423,UNC Wilmington,0.767
313,2.32,1424,UNLV,0.516
314,6.09,1425,USC,0.636
315,8.56,1426,UT Arlington,0.688
316,-13.0,1427,UT San Antonio,0.133
317,7.48,1428,Utah,0.758
318,0.62,1429,Utah St,0.483
319,-6.0,1430,Utah Valley,0.333
320,1.13,1431,UTEP,0.563
321,9.91,1433,VA Commonwealth,0.706
322,11.63,1434,Valparaiso,0.8
323,9.41,1435,Vanderbilt,0.594
324,3.21,1436,Vermont,0.606
325,13.26,1437,Villanova,0.853
326,10.7,1438,Virginia,0.788
327,2.48,1439,Virginia Tech,0.576
328,-9.81,1440,VMI,0.222
329,-3.4,1441,W Carolina,0.433
330,-4.88,1442,W Illinois,0.292
331,-0.41,1443,WKU,0.5
332,-2.13,1444,W Michigan,0.367
333,5.97,1447,Wagner,0.677
334,-5.0,1448,Wake Forest,0.355
335,3.59,1449,Washington,0.563
336,-7.47,1450,Washington St,0.267
337,6.06,1451,Weber St,0.742
338,12.59,1452,West Virginia,0.765
339,2.7,1453,WI Green Bay,0.636
340,4.9,1454,WI Milwaukee,0.581
341,13.71,1455,Wichita St,0.742
342,4.28,1456,William & Mary,0.621
343,4.28,1457,Winthrop,0.69
344,4.31,1458,Wisconsin,0.625
345,-1.4,1459,Wofford,0.433
346,1.94,1460,Wright St,0.606
347,-2.1,1461,Wyoming,0.4
348,10.31,1462,Xavier,0.844
349,10.96,1463,Yale,0.778
350,-10.0,1464,Youngstown St,0.3
